nombre;estacion;evento;tiempo;max;min;promedio;stdev;latitud;longitud;fecha;hora
escenario2/data/HY/2018-03-04-0532-30S.LC05__001_00_01;LC05;HY;10;-109;-122;-115.652;1.684011876;-23.357636;-67.76967;2018-03-04;053230
escenario2/data/HY/2018-03-04-2118-44S.LC05__001_00_01;LC05;HY;76;61;46;52.85296053;1.814132509;-23.357636;-67.76967;2018-03-04;211844
escenario2/data/HY/2018-03-06-0544-55S.LC05__001_00_01;LC05;HY;45;-108;-120;-114.6363333;1.515428762;-23.357636;-67.76967;2018-03-06;054455
escenario2/data/HY/2018-03-08-2155-43S.LC09__001_00_01;LC09;HY;72;38;-28;4.304513889;5.07332147;-23.334163;-67.750619;2018-03-08;215543
escenario2/data/HY/2018-03-09-0614-52S.LC10__001_00_01;LC10;HY;58;1878;-2927;-237.0526724;259.7905856;-23.371784;-67.734025;2018-03-09;061452
escenario2/data/HY/2018-03-09-1944-45S.LC05__001_00_01;LC05;HY;30;60;43;50.878;1.914797465;-23.357636;-67.76967;2018-03-09;194445
escenario2/data/HY/2018-03-09-2134-23S.LC10__001_00_01;LC10;HY;11;-4;-111;-61.82818182;10.02245326;-23.371784;-67.734025;2018-03-09;213423
escenario2/data/HY/2018-03-10-0105-50S.LC10__001_00_01;LC10;HY;35;-161;-228;-197.2304286;6.579658249;-23.371784;-67.734025;2018-03-10;010550
escenario2/data/HY/2018-03-10-1907-49S.LC10__001_00_01;LC10;HY;57;165;13;86.3872807;20.67903667;-23.371784;-67.734025;2018-03-10;190749
escenario2/data/HY/2018-03-10-2146-56S.LC10__001_00_01;LC10;HY;18;-8;-45;-26.76277778;4.078446471;-23.371784;-67.734025;2018-03-10;214656
escenario2/data/HY/2018-03-11-0115-53S.LC10__001_00_01;LC10;HY;14;-162;-191;-176.0739286;3.369384046;-23.371784;-67.734025;2018-03-11;011553
escenario2/data/HY/2018-03-11-0549-15S.LC10__001_00_01;LC10;HY;28;-173;-205;-190.0166071;3.014768871;-23.371784;-67.734025;2018-03-11;054915
escenario2/data/HY/2018-03-11-1229-02S.LC10__001_00_01;LC10;HY;53;92;-341;-110.6383019;17.15627189;-23.371784;-67.734025;2018-03-11;122902
escenario2/data/HY/2018-03-12-0654-15S.LC10__001_00_01;LC10;HY;85;-148;-237;-192.6182941;5.190115665;-23.371784;-67.734025;2018-03-12;065415
escenario2/data/HY/2018-03-12-1745-28S.LC10__001_00_01;LC10;HY;20;444;-206;112.50475;37.11319816;-23.371784;-67.734025;2018-03-12;174528
escenario2/data/HY/2018-03-13-0926-30S.LC10__001_00_01;LC10;HY;22;-132;-277;-207.2209091;12.91383399;-23.371784;-67.734025;2018-03-13;092630
escenario2/data/HY/2018-03-14-0636-44S.LC10__001_00_01;LC10;HY;116;-112;-288;-194.1200431;7.519757539;-23.371784;-67.734025;2018-03-14;063644
escenario2/data/HY/2018-03-15-0409-30S.LC10__001_00_01;LC10;HY;40;-138;-262;-201.733875;7.339536939;-23.371784;-67.734025;2018-03-15;040930
escenario2/data/HY/2018-03-15-1754-50S.B2DA__001_00_01;B2DA;HY;20;7768;-8249;-58.8429;1337.576136;-23.366721;-67.732697;2018-03-15;175450
escenario2/data/HY/2018-03-17-0452-33S.LC10__001_00_01;LC10;HY;11;-114;-277;-191.7972727;15.44252664;-23.371784;-67.734025;2018-03-17;045233
escenario2/data/HY/2018-03-17-0750-45S.LC10__001_00_01;LC10;HY;30;-143;-234;-188.855;6.995306164;-23.371784;-67.734025;2018-03-17;075045
escenario2/data/HY/2018-03-18-2108-23S.LC10__001_00_01;LC10;HY;17;95;-60;18.84647059;18.07874815;-23.371784;-67.734025;2018-03-18;210823
escenario2/data/HY/2018-03-19-0754-05S.LC10__001_00_01;LC10;HY;13;-141;-221;-180.2242308;6.576598181;-23.371784;-67.734025;2018-03-19;075405
escenario2/data/HY/2018-03-19-0921-02S.LC10__001_00_01;LC10;HY;43;-50;-325;-178.3463953;14.67702321;-23.371784;-67.734025;2018-03-19;092102
escenario2/data/HY/2018-03-20-0420-10S.LC10__001_00_01;LC10;HY;25;-135;-234;-186.2468;6.367408402;-23.371784;-67.734025;2018-03-20;042010
escenario2/data/HY/2018-03-20-1243-18S.LC10__001_00_01;LC10;HY;62;-63;-133;-98.20782258;7.34395429;-23.371784;-67.734025;2018-03-20;124318
escenario2/data/HY/2018-03-20-1920-37S.LC10__001_00_01;LC10;HY;25;277;-37;122.2052;20.93933841;-23.371784;-67.734025;2018-03-20;192037
escenario2/data/HY/2018-03-21-0439-10S.LC10__001_00_01;LC10;HY;22;-140;-226;-185.165;6.560733918;-23.371784;-67.734025;2018-03-21;043910
